epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1743.47,1.08612,0.61251,0.8049,0.85013,0.88377,0.94781,0.63141,1.17338,0.5504,0.79879,0.000297215,0.000297215,0.000297215
58,1772.62,1.08496,0.59985,0.8012,0.85551,0.8952,0.89898,0.60427,1.08168,0.50624,0.79551,0.000290612,0.000290612,0.000290612
59,1801.86,1.10426,0.61437,0.80974,0.8477,0.87811,0.95317,0.63607,1.13481,0.54572,0.79469,0.000284009,0.000284009,0.000284009
60,1831.3,1.0998,0.59884,0.80271,0.87904,0.88165,0.95556,0.64161,1.09943,0.51095,0.79574,0.000277405,0.000277405,0.000277405
61,1861.09,1.08409,0.59255,0.80424,0.88017,0.90179,0.9639,0.65895,1.07064,0.5043,0.79754,0.000270802,0.000270802,0.000270802
62,1890.6,1.07086,0.58681,0.80119,0.86429,0.90604,0.96137,0.65754,1.09866,0.51789,0.80025,0.000264199,0.000264199,0.000264199
63,1919.42,1.08839,0.59464,0.80503,0.86096,0.88985,0.94927,0.64368,1.10342,0.53047,0.80287,0.000257595,0.000257595,0.000257595
64,1948.44,1.11378,0.58938,0.81127,0.88334,0.87846,0.9474,0.65042,1.12234,0.53633,0.80518,0.000250992,0.000250992,0.000250992
65,1977.49,1.11419,0.59978,0.8023,0.86394,0.90338,0.95474,0.65402,1.08084,0.50208,0.79747,0.000244389,0.000244389,0.000244389
66,2006.63,1.11448,0.59453,0.80778,0.88043,0.88011,0.94127,0.64016,1.13746,0.52857,0.80278,0.000237785,0.000237785,0.000237785
67,2036.05,1.09632,0.58892,0.79946,0.8997,0.8808,0.95713,0.64861,1.13249,0.51349,0.80278,0.000231182,0.000231182,0.000231182
68,2065.28,1.076,0.57149,0.80076,0.88566,0.88466,0.95878,0.62412,1.16113,0.52354,0.79988,0.000224579,0.000224579,0.000224579
69,2095.49,1.06805,0.58034,0.80016,0.89936,0.88523,0.95849,0.64649,1.10299,0.50749,0.79853,0.000217976,0.000217976,0.000217976
70,2125.78,1.05171,0.56352,0.79765,0.8762,0.90923,0.95757,0.65692,1.06603,0.49786,0.8002,0.000211372,0.000211372,0.000211372
71,2154.92,1.05387,0.56949,0.80518,0.87661,0.88531,0.95682,0.63647,1.0876,0.50899,0.79544,0.000204769,0.000204769,0.000204769
72,2183.93,1.03331,0.54821,0.80053,0.89569,0.88603,0.95715,0.65656,1.06481,0.49579,0.79643,0.000198166,0.000198166,0.000198166
73,2212.78,1.06058,0.55203,0.80097,0.88929,0.89093,0.95145,0.62205,1.16708,0.51865,0.79563,0.000191562,0.000191562,0.000191562
74,2241.62,1.05205,0.56831,0.79573,0.9018,0.89198,0.96138,0.64514,1.07754,0.50593,0.79685,0.000184959,0.000184959,0.000184959
75,2270.3,1.0372,0.55819,0.79796,0.8924,0.8938,0.96145,0.65552,1.0743,0.49957,0.80145,0.000178356,0.000178356,0.000178356
76,2299.33,1.01822,0.54093,0.79886,0.89123,0.88183,0.95427,0.64895,1.08297,0.49896,0.79975,0.000171752,0.000171752,0.000171752
77,2329.11,1.048,0.55489,0.79679,0.87084,0.90195,0.95502,0.65164,1.05321,0.49477,0.7964,0.000165149,0.000165149,0.000165149
78,2358.85,1.03863,0.56199,0.80269,0.87846,0.90283,0.95518,0.66692,1.05568,0.49557,0.79881,0.000158546,0.000158546,0.000158546
79,2387.92,1.02807,0.55364,0.79816,0.8981,0.90067,0.96471,0.66421,1.03083,0.48485,0.79855,0.000151943,0.000151943,0.000151943
80,2417.37,1.0343,0.54629,0.7954,0.87583,0.91816,0.96341,0.66173,1.05288,0.48669,0.79912,0.000145339,0.000145339,0.000145339
81,2446.5,1.01688,0.54402,0.79498,0.87628,0.9102,0.91626,0.61925,1.07508,0.48771,0.79829,0.000138736,0.000138736,0.000138736
82,2475.27,1.01048,0.53655,0.79837,0.90059,0.89338,0.91743,0.62494,1.03314,0.46607,0.79621,0.000132133,0.000132133,0.000132133
83,2504.09,1.00107,0.52779,0.79623,0.88767,0.90438,0.96264,0.67409,1.02601,0.46405,0.7968,0.000125529,0.000125529,0.000125529
84,2533.07,1.00923,0.53822,0.79113,0.88947,0.90385,0.96154,0.66863,1.03,0.47499,0.79658,0.000118926,0.000118926,0.000118926
85,2562.46,1.00485,0.53432,0.79733,0.8725,0.88687,0.91375,0.63203,1.03309,0.4779,0.79713,0.000112323,0.000112323,0.000112323
86,2592.05,0.99529,0.53489,0.79459,0.89436,0.88183,0.95658,0.66491,1.00897,0.46761,0.7949,0.00010572,0.00010572,0.00010572
87,2620.94,0.96802,0.52156,0.79377,0.89212,0.9009,0.9168,0.62882,1.03977,0.47655,0.79537,9.91162e-05,9.91162e-05,9.91162e-05
88,2651.58,0.97873,0.53091,0.79396,0.89894,0.88735,0.96326,0.68066,1.03355,0.47807,0.79672,9.25129e-05,9.25129e-05,9.25129e-05
89,2680.9,0.98676,0.51569,0.79103,0.88894,0.90769,0.92036,0.63596,1.0381,0.46852,0.79596,8.59096e-05,8.59096e-05,8.59096e-05
90,2709.93,0.97758,0.51657,0.79781,0.88851,0.90155,0.91718,0.62975,1.05081,0.47537,0.79661,7.93063e-05,7.93063e-05,7.93063e-05
91,2752.81,0.9822,0.51853,0.79341,0.88806,0.87339,0.90943,0.60777,1.08834,0.49654,0.79989,7.2703e-05,7.2703e-05,7.2703e-05
92,2795.45,0.97394,0.5176,0.79036,0.86329,0.92245,0.91696,0.61562,1.088,0.49635,0.80004,6.60997e-05,6.60997e-05,6.60997e-05
93,2842.05,0.96215,0.50581,0.79141,0.89111,0.879,0.96191,0.64734,1.08389,0.49552,0.80141,5.94964e-05,5.94964e-05,5.94964e-05
94,2870.28,0.94475,0.49625,0.78954,0.87436,0.91101,0.91561,0.61875,1.0495,0.47883,0.80037,5.28931e-05,5.28931e-05,5.28931e-05
95,2898.36,0.95356,0.4954,0.78792,0.89963,0.89171,0.96378,0.66021,1.05652,0.47733,0.79866,4.62898e-05,4.62898e-05,4.62898e-05
96,2949.03,0.94398,0.48787,0.79167,0.8773,0.91952,0.91757,0.62314,1.05374,0.48063,0.79947,3.96865e-05,3.96865e-05,3.96865e-05
97,3001.22,0.93997,0.50409,0.79117,0.89789,0.89411,0.96501,0.66949,1.04006,0.4756,0.79832,3.30832e-05,3.30832e-05,3.30832e-05
98,3052.96,0.92708,0.49138,0.78484,0.89062,0.90022,0.9176,0.63119,1.04618,0.47913,0.79953,2.64799e-05,2.64799e-05,2.64799e-05
99,3104.08,0.93344,0.49492,0.79146,0.88802,0.90443,0.91744,0.63278,1.04561,0.47879,0.7993,1.98766e-05,1.98766e-05,1.98766e-05
100,3152.22,0.93415,0.48231,0.79114,0.89264,0.89687,0.91763,0.63099,1.04704,0.47993,0.79809,1.32733e-05,1.32733e-05,1.32733e-05
